test,number,frame,zero,partial,heavy
test4,41,4140,5,2,13
test4,42,4141,5,3,14
test4,43,4142,5,3,11
test4,44,4143,4,3,14
test4,45,4144,2,4,18
test4,46,4145,0,5,15
test4,47,4146,1,6,15
test4,48,4147,1,7,15
test4,49,4148,0,5,15
test4,50,4149,1,5,14
test4,51,4150,0,6,14
test4,52,4151,0,5,18
test4,53,4152,2,3,18
test4,54,4153,1,6,15
test4,55,4154,0,3,25
test4,56,4155,1,4,17
test4,57,4156,2,4,17
test4,58,4157,2,5,11
test4,59,4158,2,3,15
test4,60,4159,2,7,12
test4,61,4160,1,5,16
test4,62,4161,1,6,14
test4,63,4162,2,6,16
test4,64,4163,2,2,16
test4,65,4164,1,7,14
test4,66,4165,1,6,13
test4,67,4166,0,10,8
test4,68,4167,0,7,9
test4,69,4168,2,6,12
test4,70,4169,1,8,10
test4,71,4170,0,10,12
test4,72,4171,0,2,20
test4,73,4172,0,4,19
test4,74,4173,0,2,18
test4,75,4174,1,5,12
test4,76,4175,0,8,11
test4,77,4176,0,6,11
test4,78,4177,1,6,13
test4,79,4178,0,6,11
test4,80,4179,0,5,13
test4,81,4180,0,4,19
test4,82,4181,2,4,16
test4,83,4182,1,6,17
test4,84,4183,0,8,14
test4,85,4184,1,7,13
test4,86,4185,1,8,15
test4,87,4186,1,7,12
test4,88,4187,1,6,14
test4,89,4188,3,5,14
test4,90,4189,1,5,11
test4,91,4190,3,4,10
test4,92,4191,3,3,13
test4,93,4192,0,6,11
test4,94,4193,1,3,16
test4,95,4194,2,6,10
test4,96,4195,1,6,9
test4,97,4196,2,6,11
test4,98,4197,2,6,6
test4,99,4198,1,6,6
test4,100,4199,0,5,6
